uuid,vin,make,model,mileage,price,creation_date,update_date,cositas,zip_code
6817162a-e538-4af4-8783-d7e5cfe23410,KM8NU4CCXCU700981,Nissan,Altima,1,367138497.39,1/22/2021,4/25/2020,9/15/2020,11523-7303
810dd183-d47f-4ca2-8198-cf9fb5c35c33,2C3CCAGG0FH925318,Lamborghini,Gallardo,2,826058291.75,11/29/2020,9/24/2020,8/21/2020,42291-714
e153d994-b4a5-42f9-8e37-7083a5d1bfc9,1G6AF5S30D0027277,MINI,Cooper Clubman,3,409005389.14,1/8/2021,5/5/2020,2/19/2021,63029-639
2f747127-c5ad-4749-97c6-dd489f4a04d6,3C6JD6CT8CG135977,Mercedes-Benz,CL-Class,4,493062265.9,1/4/2021,7/12/2020,7/3/2020,55154-4251
b58d4c8e-1b34-48a5-bd80-37ff644044a8,1FMEU5BE6AU646288,Mitsubishi,Chariot,5,402946010.29,7/15/2020,12/1/2020,11/26/2020,67046-251
d5118835-dda7-44a9-991b-2ba7ed56e814,WAUHF78P96A423039,Oldsmobile,Aurora,6,844827155.22,7/10/2020,4/17/2020,6/3/2020,61919-483
7e65fd64-3ece-4692-833a-97b0b7f7bb81,2T1BURHE6FC178527,Mazda,MX-5,7,893768113.87,12/14/2020,3/12/2021,4/13/2021,49349-563
a1b554b4-b233-4efd-b6c6-d06f922ca41d,WAU3VAFR2AA352435,Ford,Taurus,8,565466632.51,3/2/2021,11/25/2020,8/16/2020,68645-475
c3712a9a-6aae-410a-9df0-245caa4a6148,19UUA8F3XEA473535,Mazda,Millenia,9,217310427.6,7/13/2020,10/21/2020,4/28/2020,51393-7334
4919caf3-7d91-43bc-b676-42a481d2aa23,WAULT68EX2A736073,Pontiac,Vibe,10,885975633.49,6/21/2020,2/10/2021,3/24/2021,64380-741
904267be-5525-4062-afbf-dc2f55b5439c,2FMGK5CC1AB785312,Subaru,Impreza,11,315092959.13,10/26/2020,11/16/2020,6/29/2020,60429-250
5ad725b2-b9a7-4642-95f1-e7f37dea5b53,JN1BY1PP2FM844507,GMC,Canyon,12,683047476.58,6/7/2020,7/22/2020,9/16/2020,52125-592
9eb51343-4602-4805-a387-08f5d69ace92,2C3CDXDT0DH111801,Mercedes-Benz,S-Class,13,104180763.87,9/23/2020,10/14/2020,12/8/2020,68151-2943
357b471b-531e-41ef-8ad3-bc571ce9fa04,YV1852AR7A1839727,Chrysler,New Yorker,14,154828814.27,7/30/2020,2/21/2021,7/30/2020,0378-4451
1b46a80b-adb6-4079-bff7-f2a1c01b7ff2,19VDE1F39EE412533,Mazda,Miata MX-5,15,717379671.13,9/9/2020,10/10/2020,2/7/2021,64942-1142
bfe7d165-0bad-4479-a083-075028fee4ea,1G6DV1EP3B0662241,Pontiac,Grand Prix,16,914997182.58,5/17/2020,3/13/2021,4/4/2021,41268-337
8b6c250d-3067-4ce8-b33c-bc1f671a22c9,WAUMFAFL9DN831851,Volkswagen,Rabbit,17,534618048.89,6/7/2020,9/18/2020,12/24/2020,67979-500
76c16c83-abab-4bad-b39d-719f7d92ff0c,WAUJC58E43A399337,Hyundai,Veloster,18,781597008.03,10/6/2020,10/5/2020,1/15/2021,54569-0557
6d141b88-cf0c-4c3e-b148-56923caa7c9a,1GYUCFEJ1AR472924,Mazda,Tribute,19,298613677.23,12/29/2020,8/4/2020,11/3/2020,36987-3043
9f44ba17-467e-41aa-b4ef-b3304b282124,WAUEFAFL5DA760711,Chevrolet,Uplander,20,826961637.03,6/9/2020,1/28/2021,1/15/2021,55319-256
4add4ab3-2d04-4594-a96c-ee650373de43,SCFFDCBD8BG069725,Acura,RL,21,989922183.0,12/8/2020,6/9/2020,5/28/2020,67046-644
caf10c59-98e8-456e-9e22-e1a4e100a011,WAU4FAFR8AA719758,Lotus,Esprit,22,192731980.95,8/9/2020,3/12/2021,10/15/2020,33261-532
dc52ba87-dc97-4293-be60-187a0667d2d1,3C6TD4MT1CG237861,Dodge,Ram Van 2500,23,416816216.26,10/23/2020,2/10/2021,1/5/2021,54473-080
c6665806-a39c-42ad-9aee-62aa5113c116,JM3TB2BV2D0486237,Lexus,IS F,24,214426404.45,7/17/2020,8/15/2020,1/14/2021,41900-110
e408ed83-2d09-4ec4-9f87-279ae9ba0c3a,WA1UFBFL7DA689574,Mazda,RX-7,25,161330168.85,8/3/2020,10/15/2020,2/5/2021,0228-2597
0a13df11-8916-4aef-88cd-66e52eb73f17,3D4PH1FG9BT354934,Mercury,Grand Marquis,26,97958633.37,12/7/2020,3/4/2021,9/15/2020,63304-773
0ca2af38-db0b-44da-ba20-198145007d67,2HNYD18245H009042,Oldsmobile,Cutlass Supreme,27,608236221.05,12/23/2020,5/7/2020,4/15/2021,0378-4260
36b602d9-f5c5-41cf-9d9d-1ec30d49d426,3C3CFFER6CT853584,Chevrolet,Malibu,28,723649264.34,8/20/2020,10/6/2020,2/26/2021,0268-6310
36d317d2-bba4-4907-9a4b-ca057f9cf801,WAUHFAFL5CN514357,Chevrolet,Corvette,29,110497732.37,11/15/2020,10/1/2020,12/13/2020,36987-3338
84460c38-158f-4c8b-b9da-2a8349dc0d20,WAUKD98P86A371510,Mercedes-Benz,300SL,30,988374405.61,6/13/2020,11/20/2020,4/5/2021,50436-9994
7826076c-12c8-4bd9-94ef-15a03b4bd366,1G6DA8EG7A0737493,Ford,Explorer,31,43361440.86,7/20/2020,9/13/2020,5/20/2020,59021-001
4d9657ab-04c5-4db9-b437-68a4f0ea1fc1,5TFCW5F11BX384633,Ford,Fusion,32,197019856.35,6/30/2020,11/4/2020,7/24/2020,0713-0268
39237245-84b0-48a5-a4c3-4e746f3a7d81,SALAG2D45BA582319,Nissan,Pathfinder,33,404797237.16,2/15/2021,4/6/2021,11/27/2020,51769-411
e8e86bd0-b3fd-422c-bece-f095c7c23849,WAUWFAFR4AA482811,Mercedes-Benz,SL-Class,34,253729168.5,3/20/2021,5/9/2020,3/14/2021,68788-9052
463457cd-8203-48cb-8156-4ae59cdfcf85,5XYZT3LB9DG756570,Mitsubishi,Eclipse,35,571015558.78,10/2/2020,2/4/2021,3/23/2021,49035-479
9e0af627-c6e1-4518-a523-7f01dadc7d52,1C4AJWAG2FL765539,Ford,Bronco,36,794425492.74,2/6/2021,7/8/2020,1/21/2021,24474-002
e504aaa1-221b-477e-b858-b278b7cd2ca6,5GALVAED6AJ916534,Mazda,Protege,37,103991345.53,5/12/2020,9/3/2020,10/14/2020,36987-1897
1b4dc295-0bc6-4af3-86bb-6cc2805b8042,3VW4A7AT3CM947533,Volkswagen,Golf,38,948923374.47,2/17/2021,4/3/2021,2/26/2021,57520-1111
