uuid,vin,make,model,mileage,price,creation_date,update_date,cositas
76e4991e-4d4c-4a53-9ff4-a90e711deedc,3N1CE2CP5FL659869,Nissan,Frontier,1,$112480.97,6/29/2020,11/11/2020,12/11/2020
e9e8a186-0835-48ef-8d41-6d101fac191f,3D7JV1EP1BG780693,Jeep,Grand Cherokee,2,$697258.47,5/4/2020,6/30/2020,7/25/2020
1735ada1-ef44-4784-9ebe-67be8cf3c585,WA1YD54B83N183603,Acura,RL,3,$704521.52,12/2/2020,11/13/2020,1/28/2021
b37066c4-853e-49d1-a348-467bf33f9705,1GYS4JEF3BR619667,Ford,Taurus,4,$129043.06,7/1/2020,8/20/2020,6/25/2020
2ef7553d-d295-4045-8540-03a0ea4c29fd,1G6DS5E38D0976760,Buick,Century,5,$714636.57,4/14/2021,5/18/2020,4/16/2021
2259a4ed-20f9-4a67-bea3-c9b6f0baa974,2B3CA7CW9AH718549,Mercedes-Benz,E-Class,6,$573998.16,9/12/2020,1/31/2021,8/24/2020
ac3d6b0a-ecb8-4f2d-9d54-2db61fe16452,WDDGF5EB1AR554056,GMC,Sierra 3500HD,7,$541907.29,12/9/2020,5/17/2020,2/9/2021
87a78aa0-e787-414e-8938-f7707a2b592b,WAULK78K39N108681,GMC,Vandura 2500,8,$883825.98,5/3/2020,6/22/2020,5/12/2020
340d7540-6510-4a75-8501-b2d4737437de,SCFAD02A38G265787,Volkswagen,Passat,9,$476445.41,9/6/2020,3/29/2021,6/13/2020
a544bc06-8478-4b82-bde8-2323ba370879,1FTEW1C86AF375401,Chrysler,Pacifica,10,$362893.14,3/4/2021,11/21/2020,10/22/2020
